Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinacao;Area Plantio (ha);Tipo Adubacao;Recomendacao (kg/ha);Data Inicio Plantio;Data Fim Plantio;Estado
2024;1;São Pedro;Estados Unidos;Soja;BMX BONUS IPRO;Grão;29,1344;Nenhum;0;29/10/2023;29/10/2023;MG
2024;1;São Pedro;Gotejo;Soja;BMX TORMENTA IPRO;Grão;55,1;Nenhum;0;24/10/2023;26/10/2023;MG
2024;1;São Pedro;Paraguay;Soja;BMX TORMENTA IPRO;Grão;140;Nenhum;0;20/10/2023;20/10/2023;MG
2024;1;Lagoa Bonita;Arapongas;Soja;BMX BONUS IPRO;Grão;21,98;Nenhum;0;26/10/2023;26/10/2023;MG
2024;1;Lagoa Bonita;Arapoti;Soja;BMX BONUS IPRO;Grão;28,01;Nenhum;0;25/10/2023;25/10/2023;MG
2024;1;Lagoa Bonita;Astorga;Soja;BMX OLIMPO IPRO;Grão;26,49;Nenhum;0;21/10/2023;26/10/2023;MG
2024;1;Lagoa Bonita;Cambé I;Soja;BMX TORMENTA IPRO;Grão;92,5439;Nenhum;0;16/10/2023;18/10/2023;MG
2024;1;Lagoa Bonita;Campo Largo;Soja;BMX OLIMPO IPRO;Grão;13,67;Nenhum;0;21/10/2023;26/10/2023;MG
2024;1;Lagoa Bonita;Guaratuba;Soja;BMX TORMENTA IPRO;Grão;35,64;Nenhum;0;16/10/2023;18/10/2023;MG
2024;1;Lagoa Bonita;Londrina;Soja;BMX BONUS IPRO;Grão;33,62;Nenhum;0;23/10/2023;23/10/2023;MG
2024;1;Lagoa Bonita;Palotina;Soja;BMX BONUS IPRO;Grão;69,23;Nenhum;0;20/10/2023;23/10/2023;MG
